Date,^GSPC,^DJI,^TNX,^IXIC,^RUT
2023-04-13,4146.22021484375,34029.69140625,3.4519999027252197,12166.26953125,1796.6800537109375
2023-04-14,4137.64013671875,33886.46875,3.5220000743865967,12123.4697265625,1781.1500244140625
2023-04-17,4151.31982421875,33987.1796875,3.5910000801086426,12157.7197265625,1802.8399658203125
2023-04-18,4154.8701171875,33976.62890625,3.572000026702881,12153.41015625,1795.550048828125
2023-04-19,4154.52001953125,33897.01171875,3.6019999980926514,12157.23046875,1799.43994140625
2023-04-20,4129.7900390625,33786.62109375,3.5450000762939453,12059.5595703125,1789.699951171875
2023-04-21,4133.52001953125,33808.9609375,3.569999933242798,12072.4599609375,1791.510009765625
2023-04-24,4137.0400390625,33875.3984375,3.515000104904175,12037.2001953125,1788.8699951171875
2023-04-25,4071.6298828125,33530.828125,3.3959999084472656,11799.16015625,1745.949951171875
2023-04-26,4055.989990234375,33301.87109375,3.431999921798706,11854.349609375,1730.4100341796875
2023-04-27,4135.35009765625,33826.16015625,3.5280001163482666,12142.240234375,1751.219970703125
2023-04-28,4169.47998046875,34098.16015625,3.4519999027252197,12226.580078125,1768.989990234375
2023-05-01,4167.8701171875,34051.69921875,3.5739998817443848,12212.599609375,1769.2099609375
2023-05-02,4119.580078125,33684.53125,3.438999891281128,12080.509765625,1732.1099853515625
2023-05-03,4090.75,33414.23828125,3.4030001163482666,12025.330078125,1739.280029296875
2023-05-04,4061.219970703125,33127.73828125,3.3510000705718994,11966.400390625,1718.81005859375
2023-05-05,4136.25,33674.37890625,3.446000099182129,12235.41015625,1759.8800048828125
2023-05-08,4138.1201171875,33618.69140625,3.5209999084472656,12256.919921875,1754.469970703125
2023-05-09,4119.169921875,33561.80859375,3.5209999084472656,12179.5498046875,1749.6800537109375
2023-05-10,4137.64013671875,33531.328125,3.438999891281128,12306.4404296875,1759.510009765625
2023-05-11,4130.6201171875,33309.51171875,3.3970000743865967,12328.509765625,1744.7099609375
2023-05-12,4124.080078125,33300.62109375,3.4630000591278076,12284.740234375,1740.8499755859375
2023-05-15,4136.27978515625,33348.6015625,3.507999897003174,12365.2099609375,1761.550048828125
2023-05-16,4109.89990234375,33012.140625,3.5490000247955322,12343.0498046875,1736.1800537109375
